Copyright BinarySEC under GPLv3
id#activated#category#name#type#rule

1T2#true#tracker#Yandex#nreghost#mc.yandex.ru
2T2#true#tracker#Cedexis#nreghost#reports.cedexis.com
3T2#true#tracker#Cedexis#nreghost#probes.cedexis.com
4T2#true#tracker#Cedexis#nreghost#*bench.cedexis.com
5T2#true#tracker#Cedexis#nreghost#cedexis.gccdn.net
6T2#true#tracker#Cedexis#nreghost#*cedexis-radar.net
7T2#true#tracker#Cedexis#nreghost#radar.cedexis.com
8T2#true#tracker#Chartbeat#nreghost#ping.chartbeat.net
9T2#true#tracker#Chartbeat#nreghost#static.chartbeat.*
10T2#true#tracker#Kameleoon#nreghost#static.kameleoon.com
100T2#true#tracker#TTL India#sync.ttlbd.net
101T2#true#tracker#Taxonomy#nreguri#*/services/json/taxonomy/flat.jsonp?*
120T2#true#tracker#Live Intercept#nreghost#*engine.liveintercept.com
121T2#true#tracker#Live Intercept#nreghost#*static.liveintercept.com
130T2#true#ad#Teads#nreghost#cdn.teads.tv
131T2#true#ad#Teads#nreguri#t.teads.tv/track
140T2#true#ad#Horyzon Media#nreguri#ads.horyzon-media.com/call/pubj*
141T2#true#ad#BStatic#nreghost#aff.bstatic.com
142T2#true#ad#ViaMichelin#nreghost#download.viamichelin.com
143T2#true#widget#Achetez Facile#nreguri#widget.achetezfacile.com/widget*
144T2#true#ad#Le Guide.com#nreghost#*.partner.leguide.com
145T2#true#tracker#Le Guide.com#nreguri#cimg.leguide.com/*/retargeting*
146T2#true#ad#Kelkoo#nreghost#ads.kelkoo.com
147T2#true#ad#Kelkoo#nreghost#adservice.kelkoo.fr
148T2#true#ad#Snake Leads#nreguri#rlg.snake-leads.com/tracker.png*
149T2#true#ad#Basilic.io#nreguri#perpetuo-onl.basilic.io/*/beacon.gif*
150T2#true#tracker#Web Rivage#nreguri#api.optinproject.com/rt/visit/*.gif
151T2#true#ad#Pub Exchange#nreguri#cdn.pubexchange.com/modules/partner/*
152T2#true#ad#Pub Exchange#nreguri#traffic.pubexchange.com/m/*
153T2#true#ad#Coull#nreguri#mash.network.coull.com/getaffiliatorjs?*
154T2#true#analytics#ShareAholic#nreguri#analytics.shareaholic.com/*/pageview.gif?*
155T2#true#analytics#AT Internet#nreguri#log*/hit.xiti?s=*
156T2#true#errantolo#Errantolo#nreguri#*errantolo.com*

